timestamp,account_id,transaction_amount,transaction_type,location,instrument
2024-06-21T09:00:00Z,acc_001,1500,buy,New York,stock
2024-06-21T09:05:00Z,acc_002,25000,sell,London,bond
2024-06-21T09:10:00Z,acc_003,5000,transfer,Tokyo,crypto
2024-06-21T09:15:00Z,acc_004,12000,buy,Sydney,stock
2024-06-21T09:20:00Z,acc_005,80000,sell,Paris,bond
2024-06-21T09:25:00Z,acc_006,3000,transfer,Berlin,crypto
2024-06-21T09:30:00Z,acc_007,45000,buy,San Francisco,stock
2024-06-21T09:35:00Z,acc_008,100000,sell,Hong Kong,bond
2024-06-21T09:40:00Z,acc_009,7000,transfer,Singapore,crypto
2024-06-21T09:45:00Z,acc_010,20000,buy,Zurich,stock
2024-06-21T09:50:00Z,acc_011,95000,sell,Frankfurt,bond
2024-06-21T09:55:00Z,acc_012,1200,transfer,Amsterdam,crypto
2024-06-21T10:00:00Z,acc_013,35000,buy,Chicago,stock
2024-06-21T10:05:00Z,acc_014,60000,sell,Shanghai,bond
2024-06-21T10:10:00Z,acc_015,4000,transfer,Toronto,crypto 